,0,1,2,3
21,Kuala Ketil," JKR 373, Jalan Raya, 09300 Kuala Ketil",04-416 3000,Mohd Fakaruddin Bin Ramlee
22,Kuala Nerang," JKR 1479, Jalan Raya, 06300 Kuala Nerang",04-786 6214,En. Mohd Shukor Bin Aziz
23,Kulim," JKR 1349, Jalan Raya, 09000 Kulim",04-490 7112             04-491 2000,En. Muhd Sayuthi Bin Abd Aziz
24,Kupang," JKR 1474, Jalan Raya, 09200 Kupang",04-476 6301,HAYATI AHMAD
25,Langgar," JKR (P) 2668, Jalan Raya, 06500 Langgar",04-787 6993,KAIYISAH HASHIM
26,Lunas," 894, Taman Sejahtera, 09600 Lunas",04-484 4221,NOOR BAIZURA MOHD HANIFA
27,Merbok," JKR 1099A, Jalan Raya, 08400 Merbok",04-457 2016,NORMA YUSOF
28,Mergong," JKR (P) 3063, Seberang Jalan Putra, 05150 Alor Setar",04-731 1499,NAZIRAH ZAINOL
29,Padang Serai," No. 117, Taman Damai 2, 09400 Padang Serai",04-485 5232,Nurhidayah Abu Seman
30,Pendang," JKR 2441, Jalan Sungai Tiang, 06700 Pendang",04-759 6245,Pn. Norhayati Binti Desa @ Man
31,Pokok Sena," JKR 2554 (P), Jalan Naka, 06400 Pokok Sena",04-782 1217,Rosliza Binti Abd Rahim
32,Pos Bergerak  Alor Setar, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Alor Setar boleh email kepada pc.powalrsetar@pos.com.my atau uopkdhprs@pos.com.my,012-422 4452 ,En. Shahrul Redha Bin Mohd Rajab 
33,Pos Bergerak Sungai Petani, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Sungai Petani boleh email kepada pc.powsgpetani@pos.com.my atau uopkdhprs@pos.com.my,013-420 7030,En. Badrul Hisyam Bin Jamil
34,POSLAJU ALOR SETAR," Pos Malaysia Berhad, Jalan Stadium, 05670 Alor Star, Kedah",04-730 5675,Sanusi Bin Ahmad
35,POSLAJU JITRA," NO.8A & 8B, Jln Changlun, 06000 Jitra, Kedah",04-9170386,Noor Hasmadi Bin La Hamzah
36,POSLAJU KULIM," No. 206 & 207, Taman Seluang, Kelang Lama, 09000 Kulim, Kedah",04-490 6553,Roslan Bin Ishak
37,POSLAJU SUNGAI PETANI," No. 68, Jalan Fairuz 4, Taman Perusahaan Ringan Bakar Arang, 08000 Sungai Petani, Kedah",04-431 5112,Harlizah Bt Mohamed Akhir
38,Serdang," No. 17-G, Rumah Kedai Dua Tingkat, Bangunan UMNO Serdang/Bandar Baharu, 09800 Serdang",04-407 9568,NOOR AZLINDA BINTI ISMAIL
39,Sik," JKR 311, Jalan Pegawai, 08200 Sik",04-469 5245,ROZMA INTAN BAHARI
40,Simpang Empat (K)," JKR 3065A, Jalan Tokai, 06650 Simpang Empat",04-764 2771,Liliyana Binti Din
41,Sungai Petani," JKR F748, Jalan Pengkalan, 08000 Sungai Petani",04-421 4555fax:04-425896,En. Mohd Muzamir Bin Makhtar
42,Sungai Tiang," JKR 1810, Felda Sungai Tiang, 06750 Sungai Petani",04-754 1171,ASPARIZA MOHD ZIN
43,Taman Sejati Indah," D3-2, Jalan Permatang Gadong, Taman Sejati Indah, 08000 Sungai Petani",04-431 1782,Pn. Siti Rohayu Binti Ab Ghani
44,Tesco Mergong," Lease G13, Tesco Mergong, 05150 Alor Setar",04-731 0984,En Khairul Nizam Bin Baharudin
45,Tesco SP South," Pejabat Pos Tesco SP South, Lot F4 & F5 Tesco Sg.Petani Selatan,08000 sungai Petani, Kedah Darul Aman.",04-421 3626,Pn. Wan Maizura Binti Wan Mansor
46,Tesco Sungai Petani," No. 300, Jalan Lagenda, Lagenda Height, 08000 Sungai Petani",04-423 4625,En. Mohd Farid Bin Mohamad Yunus
47,Tikam Batu," JKR P2277, Jalan Batu Lintang, 08600 Tikam Batu",04-438 8855,Pn. Hazriza Binti Noor
48,Wisma Darul Aman," Aras 1, Blok C, Wisma Darul Aman, Jalan Tunku Bendahara, 05503 Alor Setar",04-730 5766,AHMAD JAMAL HJ. ISMAIL
49,Yan," JKR 2221, Jalan Pegawai, 06900 Yan",04-465 5237,NUR AZAM AMINUDIN
