,0,1,2,3
53,EziBox@Pos Laju Bdr Baru Bangi," 38-40, Jln  P10/21 Taman Perindustrian Selaman,  Bandar Baru Bangi, Selangor",-,-
54,EziBox@Pos Laju SC Perbadanan Putrajaya ," Lot R26, Kompleks Perbadanan Putrajaya, 24 Persiaran Perdana, Presint 3 Putrajaya",-,-
55,EziBox@Pos Laju Subang Jaya," Pos Laju Subang Jaya Lot 834, Jln subang Jaya 7, 47620 Subang Jaya, Selangor ",-,-
56,EziBox@POS24 Pos Laju Cyberjaya," 08-G-02 Blok 8B, Corporate Park, Start Central Lingkaran Cyberpoint Timur Cyber 12,  Cyberjaya",-,-
57,EziBox@POSabak Bernam," Pejabat Pos Sabak Bernam JKR218, Jln  Dato Onn, Pekan Sabak Bernam, 45200 Sabak, Selangor",-,-
58,EziBox@POSekincan," Pejabat Pos Sekinchan 8, Jln  Radin, Pekan Sekinchan, 45400 Sekinchan, Selangor",-,-
59,EziBox@POSemenyih, Pejabat Pos Semenyih Pekan Semenyih  Semenyih Selangor ,-,-
60,EziBox@POSeri Kembangan," JKR 2012, Jln  Besar, Kampung Baru Seri Kembangan,  Seri Kembangan, Selangor ",-,-
61,EziBox@POSubang Jaya, Pejabat Pos Ss 15 47500 Subang Jaya Selangor,-,-
62,EziBox@POTeluk Panglima Garang," Pejabat Pos Teluk Panglima Garang 1348, Jln  Besar, Taman Indah Jaya, 42500 Telok Panglima Garang, Selangor",-,-
63,EziBox@POUlu Langat," Pejabat Pos Ulu Langat JKR387, Jln  Hulu Langat, Pekan Batu 14 Hulu Langat, 43100 Hulu Langat, Selangor",-,-
64,EziBox@Pusat Mel National Shah Alam," Pusat Mel National Persiaran perkilangan Seksyen 21 Shah Alam, Selangor",-,-
65,EziBox@SC Pos Laju Klang," SC Pos Laju Klang NO.9 & 11 JLN RAYA TIMUR, KS/1 41000 KLANG Selangor",-,-
66,EziBox@Shaftburry Square Cyberjaya, Shaftbury SquareCyberjaya Selangor,-,-
67,EziBox@Shell Bdr Kinrara Puchong," Shell Bandar Kinrara, Bandar Kinrara 2, 47180 Puchong, Selangor",-,-
68,EziBox@Shell Damansara Jaya," Jln  SS 24/1, Taman Sea,  Petaling Jaya, Selangor",-,-
69,EziBox@Shell Jln  Kajang Semenyih," Shell Jln  Kajang Semenyih, HSD 28670 PT 3630, Mukim Semenyih, Jln Kajang Semenyih, 43500 Semenyih",-,-
70,EziBox@Shell Jln Puchong KM12," Lot 19392 Taman Kinrara,Seksyen 1,Batu 71/2  Jln  Puchong, Puchong Selangor",-,-
71,EziBox@Shell Kota Damansara," SH Kota Damansara Seksyen 6 no. 1 Jln Cecawi 6/18A, Seksyen6 Kota Damansara,Selangor",-,-
72,"EziBox@Shell NTI Putrajaya, Presint 16"," Shell Putrajaya Presint 16, 62000 Putrajaya",-,-
73,EziBox@Shell Prima Saujana," Shell Prima Saujana,HSD 106128, Lot PT 52586, Mukim Kajang 43000 Kajang",-,-
74,EziBox@Shell Seksyen 7 Shah Alam," Shell Seksyen 7 ,Lot 1756,Seksyen 7,Shah Alam, Seksyen 7, Shah Alam, Selangor, Malaysia",-,-
75,EziBox@Shell Sungai Ramal," Shell Sungai Ramal, Lot Pt 24566, Bt 17, Jln Sg Chua, 43000 Kajang",-,-
76,EziBox@Shell TTDI Jaya," Shell TTDI Jaya, Lot 15208, Taman TTDI Jaya, 40000 Shah Alam",-,-
77,EziBox@Tesco Ara Damansara," No. 2 Jln  3A Ara Damansara PJU 1A, Pju 1a, Petaling Jaya, Selangor",-,-
78,EziBox@Tesco Bdr Puteri Bangi," No. 2, Laman Puteri 2, Bandar Puteri Bangi,Bandar Bukit Mahkota Kajang, Selangor Darul Ehsan",-,-
79,EziBox@Tesco Kajang," Tesco Kajang, Lot Pt 37820,Persiaran Saujana Impian, Saujana Impian Kajang,Selangor",-,-
80,EziBox@Tesco Klang," 3, Jln  Batu Nilam 6/KS 6, Bandar Bukit Tinggi, Selangor, Bandar Bukit Tinggi, Klang, Selangor",-,-
81,EziBox@Tesco Mutiara Damansara," 8, Jln  PJU 7/4, Mutiara Damansara, Kuala Lumpur, Selangor",-,-
82,EziBox@Tesco Puchong," Tesco Puchong , Lot 148 & 149, Pusat Bandar Puchong Jln Bandar 3, Off Jln  Puchong, Puchong Selangor Darul Ehsan.",-,-
83,EziBox@Tesco Puncak Alam," Persiaran Puncak Bestari 2, Bandar Puncak Alam,Bandar Puncak Alam, Selangor",-,-
84,EziBox@UiTM Puncak Alam," Kompleks Kemudahan Pelajar Rafflesia, Universiti Teknologi Mara Kampus Puncak Alam, 42300 Bandar Puncak Alam, Selangor",-,-
85,EziBox@UKM BANGI ," Perpustakaan Tun Sri Lanang, Jalan Nik Ahmed Kamil, 43600 Bangi, Selangor",-,-
86,EziBox@UPM KMR 1 PUTRA ," KMR One PUTRA Residence, Universiti Putra Malaysia, Seri Kembangan, Selangor, Malaysia",-,-
87,EziBox@UPM TNCPI Building," Pejabat Timbalan Naib Canselor ( Penyelidikan & Inovasi ), Universiti Putra Malaysia Seri Kembangan, Selangor, Malaysia",-,-
88,Giant Bandar Kinrara," F5A, Tingkat 2, Giant Hypermarket Bandar Kinrara, Lot 449, Jalan BK 5A/1, 47100 Puchong",03-8075 2746,En. Abd Jalil Bin Ahmad @ Hassan
89,Giant Kota Damansara," F 20 & 21, Tingkat 1, Giant Hypermarket Kota Damansara, 47840 Petaling Jaya",03-6142 2108,HASLIZA AINUN SHAARI
90,Giant Putra Heights," F 33, 34 & 35, Tingkat 1, Giant Hypermarket Putra Heights, No. 3, Persiaran Putra Perdana, 47650 Subang Jaya",03-5191 2260,NORAZLINA ABDUL MALIK
91,GPO  Shah Alam," Persiaran Dato' Menteri, 40670 Shah Alam, Selangor",03-5519 8585,MAT ALI SIDEK
92,Hentian Kajang," Lot 24 & 25, Tingkat 2, Kompleks Perhentian Kajang, Jalan Reko, 43000 Kajang",03-8737 3376,Pn. Mazlina Binti Alias
93,Jalan Othman," No. 54  Jalan 1/14, 46000 Petaling Jaya",03-7781 5555,ZARINA SELAMAT
94,Jalan Semangat," No.18B, Seksyen 14/14, 46100 Petaling Jaya",03-7956 2268,RAHIMAH BT. MUHAMAD
95,Jenjarom," JKR 1043, Jalan Sungai Buaya, 46200 Jenjarom",03-3191 3221,Pn. Maghfiroh Binti Jamaludin
96,Jeram," No. 74 Jalan Jati, 45800  Jeram",03-3264 7171,JULIANA MOKHTAR
97,Jusco Bukit Raja," Lot F24A, Tingkat 1, Jusco Bukit Raja, 41150 Klang",03-3342 9396,MOHD RADHI OTHMAN
98,Jusco Cheras Selatan," Lot F27, Kompleks Membeli Belah Aeon Cheras Selatan, Lebuh Tun Hussein Onn, 43200 Cheras",03-9074 2914,LEZAH DALDIRI
99,Jusco Taman Equine," Lot G26, Kompleks Membeli Belah AEON Taman Equine 43300 Seri Kembangan",03-8945 1462,En. Mohammad Badrul Hisham Fauzee
100,Kajang 2020," JKR 78, Jalan Hishamuddin, 43000 Kajang",03-8733 1018,ROSLI RAMLI
101,Kampung Melayu Subang," No. 22, Jalan Pluto AY U5/AY, Seksyen U5, 40120 Shah Alam",03-7846 7446,Pn. Kalsom Binti Awang
102,Kampung Tunku," JKR 4410, Jalan SS 1/11, Kampung Tunku, 47300 Petaling Jaya",03-7876 1555,ROSILAWATI ARIFFIN
103,Kapar," JKR 1092, Jalan Besar, 42200 Kapar",03-3250 8854,ABU BAKAR ARSHAD
104,Kelana Jaya," No. 2 Jalan SS 6/2, Kelana Jaya, 47301 Kelana Jaya",03-7803 0110,Pn. Hayati Binti Yahya
105,Klang," Jalan Stesen, 41670 Klang",03-3371 5555,NORAHMAD AMIRUDIN ABDUL RAHMAN
106,Klang Utara," JKR 1093, Jalan Pos Baru, 41300 Klang",03-3342 0277,NORMIZAN HJ. OMAR
107,KLIA Selatan," No. 3A, Blok E, Sourthen Common Amenities Facrilitors KLIA Sepang, 68000 Sepang",03-8787 4788,RODZIATI ABDUL RAZAK
108,Kompleks PKNS," Lot 01-168, Tingkat 1, Kompleks PKNS 40000 Shah Alam",03-5510 0602,NOR HAMIMAH ABD RASID
109,Kuala Kubu Bharu," JKR 165, Jalan Hamid, 44000 Kuala Kubu Bharu",03-6064 1131,En. Mohd Hafiz Mt Zohir
110,Kuala Selangor," JKR 165, Jalan Bukit, 45000 Kuala Selangor",03-3289 1031,ZAHARAH DAUD
111,One Utama," Lot B21, One Utama Shopping Centre, 1, Persiaran Bandar Utama, 47800 Petaling Jaya.",03-7727 9746,En. Hafizuddin Bin Daud
112,Pandamaran, No. 5A Jalan Pandamaran KS05 Pandamaran 42000 Pelabuhan Klang,03-3168 5934,NOOR MARZITA MAJID
113,Pasar Besar Klang," Lot G&P 64865, Tingkat Bawah, Kompleks Pasar Besar, 41052 Klang",03-3344 0210,NURASHIKIN HUSSIN
114,Pasaraya Puchong Perdana," Lot FF 13 & 14, Kompleks Pasaraya Puchong Perdana, Taman Puchong Perdana, 47100 Puchong",03-8062 5939,En. Mohd Suharni Wahid
115,Pelabuhan Klang," JKR 807, Jalan Watson, 42670 Pelabuhan Kelang",03-3168 9248,Roslinda Binti Muhammad Radzi
116,Pos Bergerak  Shah Alam, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Shah Alam boleh email kepada pc.powshahalam@pos.com.my atau uopsgr@pos.com.my,"018-2323177 , 017-6598413",MOHAMAD HAFFIZ BIN HAMZAH
117,POSLAJU BALAKONG," No.5, Jalan Perusahaan 3, Taman Industri Selelsa Jaya 2, 43300 Seri Kembangan Selangor",03 - 8964 1257,Ahmad Bin Suleiman
118,POSLAJU BANTING," No 64 Jalan Emas 2, Bandar Sungai Emas, 42700 Banting, Selangor",03-3180 3748,Mohamad Husaini Ahmad
119,POSLAJU KLANG," No.9, Grd Floor & 1st Flr, NO.11, Grd Floor, JLln Raya Timur KS/1, 41000 Klang, Selangor",03-33711031,Wan Ahmad Muzzammil bin Wan Md Din
120,POSLAJU KOTA DAMANSARA," No. 10 & 12, Jalan TSB 4, Taman Industri Sungai Buloh, 47000 Sungai Buloh, Selangor Darul Ehsan",03-6140 2336,Ahmad Saufi B Taib
121,POSLAJU KUALA SELANGOR," No 50 Jalan Melati 3/1, Bandar Melawati, 45000 Kuala Selangor, Selangor Darul Ehsan",03 3281 2654,Malish Inwan Shah Bin Mohd Anuar
122,POSLAJU PETALING JAYA," Seksyen 51A, 46100 Petaling Jaya, Selangor",03-7960 3206,Ahmad Shah Redza bin Mohd Radzuan
123,POSLAJU PUCHONG," No 1 Jalan TPP 1/7, Taman Industri Puchong, 47100 Puchong, Selangor",03 8060 1226,Mohd Najid Bin Sidek
124,POSLAJU PUTRAJAYA," No 30 & No 32 ,Jalan Industri Putra 1, Presint 14, 62250 Putrajaya",03 - 8861 1583,Mohd Aizad Malek
125,POSLAJU RAWANG," No.2B-1-13 & 2B-1-13A, Jln Mutiara 3, Mutiara Business Centre, 48000 Rawang, Selangor",03-6093 4642,Mohd.Nazari B.Abdul Latif
126,POSLAJU SHAH ALAM," Pusat Mel Nasional (NMC), Blok D,No 1 Persiaran Perkilangan, Sec 21.40300 Shah Alam.Selangor",03 – 55410257,Mohd Azrin Bin Abd Rashid
127,Puchong Jaya  (Tesco)," Lot 148 & 149 Tingkat Bawah, Tesco Stores (M) Sdn. Bhd, Jalan Bandar, 47100 Puchong",03-8076 8744,MASLINDA BAHARI
128,Pulau Indah(Pulau Lumut)," Lot No. 8805, Kedai Pelbagai, 42900 Pulau Lumut",03-3101 2034,Muzafil Huzairin Mukmin
129,Putrajaya(wp putrajaya)," Blok B1, Aras 1, Parcel B, Komp Jabatan Perdana Menteri, Pusat Pentadbiran Kerajaan, 62000 Putrajaya",03-8888 3046,En. Ahmad Faizal Mohd Saripan
130,Rantau Panjang," No. 4, Jalan KU/4, Pekan Rantau Panjang, 41200 Klang",03-3291 2591,ROHANI IBAT
131,Rasa," JKR 759, Jalan Pasar,  44200 Rasa",03-6057 3266,Pn. Nurzuhaila Binti Md Rashid
132,Rawang," JKR 484, Jalan Maxwell, 48000 Rawang",03-60919 555,WAN MAIZON ZAINAL ABIDIN
133,Sabak Bernam," JKR 218, Jalan Dato' Onn, 45200 Sabak Bernam",03-3216 1351,Pn. Jastina yanti Binti Md Sardi
134,Sekinchan," JKR 386, Jalan Pejabat Pos, 45400 Sekinchan",03-3241 0071,SALMAH MOHAMAD ALI
135,Seksyen 13 Shah Alam(GIANT)," Lot 29 & 30, Pasaraya Besar Giant, Jalan Persiaran Sukan, Seksyen 13, 40100 Shah Alam",03-5511 9091,Pn. Noorfishah Binti Romli
136,Seksyen 16 Shah Alam," No. 1 & 1A, Jalan 16/13A, Seksyen 16, 40200 Shah Alam",03-5512 5188,ZALEHA YAHYA
137,Seksyen 17 Petaling Jaya," 100-P2.003, The School Blok J Jaya One, No. 72A, Jalan Universiti, Section 13, 46200 Petaling Jaya",03-7957 4143,MUHAMUD FOZI MEHAT
138,Seksyen 20 Petaling Jaya," Jalan 20/16A, Taman Paramount, 46300 Petaling Jaya",03-7876 1494,Pn. Zura Syafinash Binti Mohd Amin
139,Seksyen 7 Shah Alam," F4-8-G, Jalan Multimedia 7/AG, CityPark, i-City, 40000 Shah Alam",03-55109980,SITI AZURA ABDULLAH
140,Semenyih," JKR 208A - B, Jalan Bangi, 43500 Semenyih",03-8723 8261,Rodziati Abdul Razak
141,Sepang," No. 49, Jalan Besar, 43900 Sepang",03-3142 1221,KAMASURIATI KOMPOT
142,Serendah," No. 18, Rumah Kedai Mara, Lot 1-5, Seksyen 14, Bandar Serendah, 48200 Serendah",03-6081 1298,NARITA MOHD SUHAIMI
143,Seri Kembangan," JKR 2012, Jalan Besar, 43300 Seri Kembangan",03-8948 6232,Pn. Ruvina Arsjad
144,SS 16 AEON BIG Subang Jaya (CARREFOUR)," B1 - 03 - 04 - 05 Basement,Aeon Big Shoping Centre,Subang Jaya,No.3 Jalan SS 16/1,47500 Subang Jaya.",03-5638 1934,ANAS BIN MOHAMED
145,SS2 Petaling Jaya (Sea Park)," No.26 Jalan SS 3/59E, 47300 Petaling Jaya",03-7874 5866,KHAIRULNIZAM ABU KASSIM
146,Starling Mall," Lot G-001, Ground Floor, Pusat Perniagaan Starling Mall @ Uptown, No 6, Jalan SS21/37Damansara Utama, 47400 Petaling Jaya, Selangor.",03-77314066,En. Khairulnizam Abu Kassim
147,Subang Jaya(SS 15)," Lot 2098, Jalan Subang Utama, 47500 Subang Jaya",03-5631 2496,En. Abd Rahman Bin Abdullah
148,Sungai Air Tawar," JKR 8B 775, Jalan Besar, 45100 Sungai Air Tawar",03-3213 6299,En. Fauzi Bin Ismail
149,Sungai Besar," JKR 55 Jalan Menteri, 45300 Sungai Besar",03-3224 1221,NORHANITA ZAHARULLAIL
150,Sungai Buloh," No. 1-12K, Tingkat 2, Pasaraya Hiong Kong, 47000 Sungai Buluh",03-6157 0408,Pn. Zarina Binti Mat Desa
151,Sungai Pelek," JKR 1579, Jalan Besar,  43950 Sungai Pelek",03-3141 1204,MUHAMMAD NORAIRIN NGATENI
152,Taman Sri Muda," SO/G 9, Plaza  Sri Muda, Jalan Setia 25/26, Seksyen 25, Taman Sri Muda, 40400 Shah Alam",03-5122 3678,NOR FARAH ZILAH SHAMSUDIN
153,Tanjong Karang," JKR 208, Jalan Kilang Padi, 45500 Tanjong Karang",03-3269 8161,WASHITAH AHMAD DALDIRI
154,Tanjong Sepat," JKR 4609 A-B Jalan Besar, 42800 Tanjong Sepat",03-3197 4260,ABDUL RAHMAN OMAR
155,Telok Panglima Garang," JKR 1348, Jalan Besar, 42500 Telok Panglima Garang",03-3122 7755,En. Mohammad Darul Ridlwan Bin Hariri
156,Tesco Kajang," Lot No. 27C, Tingkat 1, Tesco Hypermarket Saujana Impian, Jalan Cheras, 43000 Kajang.",03-8734 2457,En.Sharizan Bin Jasmi
157,Tesco Mutiara Damansara," Lot M2, Mezzanine Floor, Tesco Mutiara Damansara, No. 8, Jalan PJU 7/4, Mutiara Damansara, 47800 Petaling Jaya",03-7728 2016,En. Zainal Jamian
158,Tesco Rawang," F 37 & 38, Tesco Rawang, Lot PT 6440, Mukim Rawang, Daerah Gombak, 48000 Rawang",03-60914706,JOTHY A/P AIYAVOO
159,Tesco Setia Alam," Lot G6, Ground Floor, Tesco Setia Alam, 40170 Shah Alam",03-3344 1134,Pn. Salina Salihin @ Salehan
160,Tesco Shah Alam," Lot No. 7 Tesco Shah Alam, No. 3 Jalan Aerobik 13/43, 40000 Shah Alam",03-55230436,Pn. Pushparani A/P Krishnan
161,UiTM Shah Alam," Bangunan Menara Sultan Salahuddin Abdul Aziz Shah, UiTM Shah Alam, 40450 Shah Alam",03-5519 2087,Pn. Noor Kartini Binti Mazlan
162,Ulu Langat," JKR 387, Jalan Ulu Langat, 43100 Ulu Langat",03-9021 1314,En. Khairul Anuar Daud
163,Universiti Kebangsaan Malaysia," Bangunan Pusanika, Universiti Kebangsaan Malaysia, 43600 Bandar Baru Bangi",03-8925 0551,RAHIDA ABD RAZAK
164,Universiti Putra Malaysia," Bangunan Kolej Mohd. Rashid, Universiti Putra Malaysia, 43400 Serdang",03-8948 6517,Pn. Noor Fazlina Binti Ab Sani
165,USJ 1 Subang Jaya," Shoplot G27, Mydin Mall USJ, Lot 675 & 676, Persiaran Subang Permai USJ 1, 47500 Subang Jaya",03-8024 9435,FARAH RAIENAH MOHD ATAN
166,USJ 19 Subang Jaya," RL2.176 & RL2.177 Second Floor, The 19 USJ City Mall, USJ 19, 47630 Subang Jaya",03-80231490,En. Tamilmaran A/L K.Kisna
167,USJ 9 Subang Jaya, No. 2A Ground Floor Jalan USJ 9/5N UEP 47620 Subang Jaya,03-8023 9463,Pn. Rafizah Ayub
