,0,1,2,3
32,Matu," Jalan Pasar Baru, 96250 Matu",084-832 215,NURULHAYATI MUHAMMAD
33,Miri," Jalan Gartak, 98000 Miri",085-433 423,MOHD ALIFF LATMANS JUNIE
34,Morsjaya," G Floor, Lot 3054, Blok 1, Lambir Land Districk Morsjaya, Jalan Airport, 98000 Miri",085-438 620,Mohd Musyadi
35,Mukah," Jalan Hj. Mohd. Fauzi, 96400 Mukah",084-871 206,Cik Nor Ruhaizah Bt Kamil
36,Pending," Tingkat Bawah, Bangunan Pusat Mel, Jalan Tun Razak, 93450 Kuching",082-333 677,Pn. Wilda Saida Ak Tawan
37,Penrissen Kem," Jalan Penrissen, 93250 Kuching",082-612 168,En. Ronald Reev'S Ak Hassan
38,Petra Jaya," Wisma Bapa Malaysia, Petra Jaya, Kerajaan Negeri, 93050 Petra Jaya",082-440 782,Pn. Halizah Binti Salleh
39,Pos Bergerak Bintulu," Pejabat Pos Bintulu, 97000 Bintulupc.powbintulu@pos.com.my",,JIRAM AK MASING
40,Pos Bergerak Kuching A, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Kuching A boleh email kepada pc.powkchA@pos.com.my atau uopswk@pos.com.my,0168566694,Muhammad Al Hafiz Bin Kamis
41,Pos Bergerak Kuching B, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Kuching B boleh email kepada pc.powkchB@pos.com.my atau uopswk@pos.com.my,012-876 0806,En.Mohd Tambuzi bin Yahya
42,Pos Bergerak Lawas, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Lawas boleh email kepada pc.powlawas@pos.com.my atau uopswk@pos.com.my,019-885 4281,RAMBRI MATUSIN
43,Pos Bergerak Lundu," Pejabat Pos Besar Kuching, Jalan Tun Abang Hj. Openg,  93670 Kuching, Sarawak.",010-9662001,En. Mohd Hanaffiah Bin Hamdan
44,Pos Bergerak Miri," Pejabat Pos Miri,Jalan Pos,9800 Miri,Sarawakpc.powmiri@pos.com.my",013 839 1018,En. Mohd Yassin Mohd Aliandi
45,Pos Bergerak Mukah," Pejabat Pos Mukah, 96400 Mukahpc.powmukah@pos.com.my",,MOHD FARID BUYONG
46,Pos Bergerak Sibu, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerakSibu boleh email kepada pc.powsibu@pos.com.my atau uopswk@pos.com.my,,TUTUP SEMENTARA
47,Pos Bergerak Sri Aman, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Sri Aman boleh email kepada pc.powsriaman@pos.com.my atau uopswk@pos.com.my,013-577 0280,En. Boniface Barat Ak Judis
48,POSLAJU BINTULU," KM 1 , Jalan Tun Razak, 97000 Bintulu, Sarawak",086-339 450,Benya Ak Empawi
49,POSLAJU KUCHING," Lot 619, Blok 16 KCLD, Jalan Song, 93350 Kuching, Sarawak",082-462 612,Muamal Hamidi Bin Ismail
50,POSLAJU LIMBANG," D/A Pos Malaysia Limbang, Jalan Buang Siol, 98700 Limbang, Sarawak",085-212 039,Hj Zaini  Hj Alias
51,POSLAJU MIRI," Jalan Pos, 98000 Miri, Sarawak",085-422 388,Marzuki Bin Morshidi
52,POSLAJU SARIKEI," No. 83A & 83B,  Jalan Masjid Lama, 96100 Sarikei, Sarawak.",084-656122,Bahtiar Bin Mohamad Omar
53,POSLAJU SIBU," Lot 234A, Jalan Tun Abang Haji Openg, 96000 Sibu, Sarawak",084-332 198,Rohayati Awi
54,POSLAJU SRI AMAN," D/A Pos Malaysia Sri Aman, Jalan Durian, 95000 Sri Aman, Sarawak",083-326 100,Margaret Bajai
55,Pusa," Pejabat Pos, 94950 Pusa",083-465 139,AFIZA HARON
56,Rejang Park," Lot 435, Block 3, Sibu Town District 47, Rejang Park Shopping Centre, 96000 Sibu",084-349 846,Pn. Nora Shamsiah Bt Daud
57,Roban," Pejabat Pos, 95300 Roban",083-427 248,NORHIDAYAH ABD WAHAB
58,Saratok," Pejabat Pos, 95400 Saratok",084-436 106,En. Abg Khairul Bin Abg Yusup
59,Sarikei," Jalan Barrack, 96100 Sarikei",084-651 218,En. Haironi Azhar Bin Mohamad Hatta
60,Satok," Lot 441, Section 11, Kuching Town Land  District, Jalan Kulas, 93400 Kuching",082-237 602,JAMAYAH SAIE
61,Sebauh," Pejabat Pos, 97100 Sebauh",086-422 115,JULIANA AMZAH
62,Sebuyau," Pejabat Pos, 94850 Sebuyau",083-467 141,MOHD NURUL HISYAM BIN ABDULLAH
63,Serian," Pejabat Pos, 94700 Serian",082-874 142,SENIMA ALEH
64,Sibu," Jalan Kampung Nyabor, 96000 Sibu",084-337 700,ZULFIKRI KAMAR
65,Sibu Jaya," Ground Floor, Sub Lot 23, Lot 1195 Sibu Commercial Centre, 96000 Sibu",084-235 343,Pn. Kamsinah Binti Abolhi
66,Siburan," Ground Floor, Lot 766 Blok 5, Sentah-Segu Land District, 94200 Siburan",082-862 445,Pn. Cindy Stefanie Koh
67,Simpang Tiga," Tingkat Bawah, Bangunan Sultan Iskandar, Jalan Simpang Tiga, 93300 Kuching",082-245 853,NANCY MERAIS
68,Simunjan," Jalan Terak, 94800 Simunjan",082-803 604,ZULKIFLI MOHAMAD
69,Song," Jalan Takan, 96850 Song",084-777 124,HENRY DUNGAU
70,Spaoh," Pejabat Pos, 95600 Spaoh",083-473 313,MACPHERSON AK CHRISTOPHER JATIE
71,Sri Aman," Jalan Durian, 95000 Sri Aman",083-325 904   083-326 958 (F),REAGAN NELSON WRIGHT
72,Sungai Asap," Lot 1069, Bangunan Milik Tabung Amanah Bakun (TAB), Local Centre 1, Sungai Asap, 96900 Belaga",tiada talian TM,En. Ricky Ak Enchirong
73,Tanjong Kidurong," Jalan Pengiran Matusin, Tanjong Kidurong, 97300 Bintulu",086-251 113,Pn. Jackyn Putih Geoffrey Ngindang
74,Tanjung Manis," Tingkat Bawah, No. 26, Lot 204, Blok 12 Lorong Pusaka 3, Bandar Baru Tanjung Manis, 96100 Sarikei",084-613 796,MUHIZAM MU-ALIM
75,Tatau," Pejabat Pos, 97200 Tatau",086-584 622,ABU KASAH HJ. SOHAI
76,Tebedu," Pejabat Pos, 94760 Tebedu",082-797 234,DEDDY LIPAN
77,UTC SARAWAK," LOT 337, 352, & 218 Section 47, Kuching Town Land District,Permata Carpark, Jln Bukit Mata,Kuching.",082-236 841,PUAN HAJJAH ANITA DOL
